    0  1  2  3  4  5  6  7  8  9 
   ______________________________
  |111111111111000111111111111111
0 |1S1111111111000111111111111111
  |111111111111000111111111111111
  |111000000000111111000000000111
1 |111000000000111111000000000111
  |111000000000111111000000000111
  |111000111000111000111000111111
2 |111000111000111000111000111111
  |111000111000111000111000111111
  |111111111000111000111000111000
3 |111111111000111000111000111000
  |111111111000111000111000111000
  |111000111000111000111111111111
4 |111000111000111000111111111111
  |111000111000111000111111111111
  |111111111111111000111111000111
5 |111111111111111000111111000111
  |111111111111111000111111000111
  |000111111111000111111000000111
6 |000111111111000111111000000111
  |000111111111000111111000000111
  |000000000000111000111111111000
7 |000000000000111000111111111000
  |000000000000111000111111111000
  |111111000111111111000111000111
8 |111111000111111111000111000111
  |111111000111111111000111000111
  |000111111111000111000111111111
9 |000111111111000111000111111111
  |000111111111000111000111111111
  |111111111111000111111111000111
10|1111111111F1000111111111000111
  |111111111111000111111111000111
